name,url,Organisations,Country
AGRICTRADE,https://agrictrade.net/trade-data/,Agricultural Market and Trade Department of the Permanent Interstate Committee for Drought Control in the Sahel (CILSS),
Agri Food Data Portal,agridata.ec.europa.euÂ ,European Union,EU
AHDB Cereals and oilseed dashboard,https://ahdb.org.uk/cereals-and-oilseeds/trade-dashboard,Agricultural and Horticulatural Develpoment Board (AHDB),UK
Beef Market Central,https://beefmarketcentral.com/fccp-app-download-landing-page-18586,Merck Animal Health,
Beef and Lamb New Zealand,beeflambnz.comÂ ,,
Malaysian Palm Oil Board,bepi.mpob.gov.myÂ ,,
InTrade Bid,https://www.intradebid.org/visualizaciones,,
"Shanghai NCB Consultation Co., Ltd ",https://www.ncbdata.com/import-export-database/,Shanghai NCB Consultation Co,
Cameroon data portal,cameroon.opendataforafrica.orgÂ ,The African Development Bank,Cameroon
Central African Republic data portal,car.opendataforafrica.orgÂ ,The African Development Bank,Central African Republic
New Zealand government,catalogue.data.govt.nzÂ ,New Zealand Government,New Zealand
"African Growth and Opportunity Act ",https://agoa.info/data.html,,
Trading economics,https://tradingeconomics.com/analytics/features.aspx?source=footer,,
Beef trade Dashboard AHDB,https://ahdb.org.uk/trade/tools,,UK/EU
Sheep trade Dashboard AHDB,https://ahdb.org.uk/lamb/sheep-meat-trade,,UK/EU
Global Agricultural Information Network,https://apps.fas.usda.gov/GATS/default.aspx,,
Comex stat,http://comexstat.mdic.gov.br/en/home,,Brazil
Com stat,comstat.comesa.intÂ ,,
EU Open Data Portal,data.europa.euÂ ,European Union,European Union
National centre for statistics and information,data.gov.omÂ ,National Centre For Statistics & Information Sultanate of Oman,Oman
data.gov.ukÂ ,data.gov.ukÂ ,UK Govt,
Direction of Trade statistics,data.imf.orgÂ ,IMF,
Intercontinental exchange,https://www.theice.com/index,Intercontinental Exchange,
data.worldÂ ,data.worldÂ ,,
World Bank databank and World bank opendata,data.worldbank.orgÂ ,World Bank,
WTO Data Portal,data.wto.org,World Trade Organisation,
TRAINS,https://databank.worldbank.org/reports.aspx?source=UNCTAD-~-Trade-Analysis-Information-System-%28TRAINS%29,,
United States International Trade Commission,dataweb.usitc.gov,,USA
I.Stat,dati.istat.itÂ ,,
Directorate General of Commercial Intelligence and Statistics,dgciskol.gov.in,,India
Democratic Republic of the Congo data portal,drcongo.opendataforafrica.orgÂ ,The African Development Bank,Democratic Republic of Congo
China Data Online / Direction of Trade Statistics,https://economics.uwo.ca/china_group/data_statistics.html,Western Social Science Department of Economics,
General Administration of Customs People's Republic of China,http://english.customs.gov.cn/statics/report/preliminary.html,General Administration of Customs People's Republic of China,China
Export Potential Map,exportpotential.intracen.orgÂ ,,
Figure.nz,figure.nzÂ ,Figure's 20,New Zealand
FRED (Federal Reserve Economic Data),fred.stlouisfed.orgÂ ,Federal Reserve of St Louis,
Digital look,"finance.digitallook.com ",,
Fur Commission USA,https://furcommission.com/fur-industry-statistics/,Fur Commission USA,USA
Trading Charts,"futures.tradingcharts.com ",Intercontinental Exchange,
Gabon Data Portal,gabon.opendataforafrica.orgÂ ,African Development Bank,Gabon
United Nations Conference on Trade and Development,https://unctad.org/statistics,,
Global Edge,globaledge.msu.eduÂ ,,
Trade Visualisation System,https://globaletrade.services/products/trade-visualization-system-tvs,GeTS Asia Pte Ltd,Global
Gro Intelligence,https://gro-intelligence.com/data,Gro Intelligence,Agriculture
Library of Congress,https://guides.loc.gov/sugar-cane-industry/print-international,,
High Commission of India in Tanzania,hcindiatz.gov.inÂ ,High Commission of India in Tanzania,India; Tanzania
Hong Kong Data Centre,hong-kong-economy-research.hktdc.comÂ ,Hong Kong Trade Development Council,
"Multi-Criteria Analysis Shell for Spatial Decision Support (MCAS-S) ",http://mcas.ternlandscapes.net.au/mcas-s/," Australian Bureau of Agricultural and Resource Economics and Sciences",Australia
CybexExim Solutions,http://www.cybex.in/,,India
"FAOStat ",http://www.fao.org/faostat/en/#data,FAO,
OECD data,https://data.oecd.org/,,
Eurostat,https://ec.europa.eu/eurostat,European Union,Europe
Statistics explained,https://ec.europa.eu/eurostat/statistics-explained/index.php/Main_Page,,
Crop market observatory,https://ec.europa.eu/info/food-farming-fisheries/farming/facts-and-figures/markets/overviews/market-observatories/crops_en,European Commission,
EU Meat Market Observatory,https://ec.europa.eu/info/food-farming-fisheries/farming/facts-and-figures/markets/overviews/market-observatories/meat_en,,
Sugar market observatory,https://ec.europa.eu/info/food-farming-fisheries/farming/facts-and-figures/markets/overviews/market-observatories/sugar_en,,
EU statistics on trade,https://ec.europa.eu/trade/policy/countries-and-regions/,,
EC Statistics,https://ec.europa.eu/trade/policy/countries-and-regions/statistics/regions/index_en.htm,,
Panjiva,https://es.panjiva.com/,,
Market access database,https://madb.europa.eu/madb/statistical_form.htm,European Commission,Europe; global
Trade Data Online (Government of Canada),https://strategis.ic.gc.ca/eic/site/tdo-dcd.nsf/eng/Home,Government of Canada,Canada; USA; global
Trade Data Monitor,https://tradedatamonitor.com/?gclid=CjwKCAjwydP5BRBREiwA-qrCGvKD_bLXXsRglz7jQGsrVaN_eVsZMrWpniqp_oBTtcj-vEkGNdpqwBoCTswQAvD_BwE,Trade Data Monitor Inc.,
UNCTAD,https://unctad.org/en/Pages/statistics.aspx,UNCTAD,
World Integrated Trade Solution,https://wits.worldbank.org/,,
COTTON PORTAL,https://www.cottonportal.org/cotton,,
Ireland National Statistics Office,https://www.cso.ie/en/statistics/externaltrade/,Central Statistics Office,Ireland; Global
Australian Government Department of Foreign Affairs and Trade,https://www.dfat.gov.au/trade/resources/Pages/trade-and-investment-data-information-and-publications,Department of Foreign Affairs and Trade Australian Government,
Moody's analytics Economics.com,https://www.economy.com,Moody's Corporation,
Forest Products Trade Flow database,https://www.efi.int/knowledge/databases/fptf,European Forest Institute,
USDA Economic research unit,https://www.ers.usda.gov/data-products/,Economic Research Service United States Department of Agriculture,
Export Genius,https://www.exportgenius.in/search-live-data.php,,
USDA Foreign Agricultural service,https://www.fas.usda.gov/data,United States Department of Agriculture Foreign Agricultural Service,United States; Global
International Energy Agency,https://www.iea.org/data-and-statistics?country=WORLD&fuel=Energy%20supply&indicator=Total%20primary%20energy%20supply%20(TPES)%20by%20source,International Energy Agency,Global
IMF Data / World Economic Outlook Database,https://www.imf.org/en/data,International Monetary Fund,
Index Mundi,https://www.indexmundi.com/facts/visualizations/merchandise-exports/,Index Mundi,
Ministry for Primary Industries New Zealand,https://www.mpi.govt.nz/news-and-resources/economic-intelligence-unit/data/,,
we.trade,https://www.nordea.com/en/our-services/tradefinance/wetrade/,,
Department of Statistics Singapore,https://www.singstat.gov.sg/find-data/search-by-theme?type=all,Department of Statistics Singapore,Singapore
US Department of Commerce International trade administration,https://www.trade.gov/trade-data-analysis,,
TradeMapper,https://www.traffic.org/what-we-do/projects-and-approaches/trade-monitoring/,Traffic,
United Nations Office on Drugs and Crime,https://www.unodc.org/unodc/en/wildlife-and-forest-crime/index.html,UNDOC,
World Economic Forum,https://www.weforum.org/platforms/shaping-the-future-of-trade-and-global-economic-interdependence,World Economic Forum,
WTO International trade and market access data,https://www.wto.org/english/res_e/statis_e/statis_bis_e.htm,,
Statistics Canada,https://www150.statcan.gc.ca/n1/pub/13-605-x/prod-eng.htm,Statistics Cananda,Canada
Import key,"importkey.com ",,United States
Kenya Data Portal,kenya.opendataforafrica.orgÂ ,Kenya National Bureau of Statistics; African Development Bank,Kenya
Knoema,knoema.comÂ ,,
Trade stat Express,http://tse.export.gov/TSE/TSEhome.aspx,International Trade Administration US Department of Commerce,United States
Open data for Malawi,malawi.opendataforafrica.orgÂ ,Reserve Bank of Malawi; African Development Bank,Malawi
Malawi trade information portal,https://mitc.mw/trade/,Malawi Investment and Trade Centre,Malawi
"USDA Foreign Agricultural Service Export sales query ",https://apps.fas.usda.gov/esrquery/,United States Department of Agriculture Foreign Agricultural Service,USA
"USDA Production, Supply and Distribution",https://apps.fas.usda.gov/psdonline/app/index.html#/app/home,United States Department of Agriculture Foreign Agricultural Service,USA
Open Africa,open.africaÂ ,,
Our World in Data,ourworldindata.orgÂ ,Oxford Martin Programme on Global Development,Global
Trase,https://trase.earth/,Global Canopy Programme; Stockholm Environment Institute,
Resource trade.earth,resourcetrade.earth,Chatham House,
The Ricardo Project,http://ricardo.medialab.sciences-po.fr/#/,,
Santander Trade,santandertrade.comÂ ,Santander,
Supporting Economic Transformation (SET),set.odi.orgÂ ,Overseas Development Institute,
Seychelles Data Portal,seychelles.opendataforafrica.orgÂ ,"National Bureau of Statistics Seychelles; ",Seychelles
Soy Canada,soycanada.caÂ ,Soy Canada,Canada
World Trade Organisation,https://www.wto.org/english/res_e/statis_e/statis_e.htm,,
Sudamerico,sudamerico.com,,
Trade Monitoring Database,tmdb.wto.orgÂ ,World Trade Organisation,
Tanzania data portal,"tanzania.opendataforafrica.org ",Tanzania National Bureau of Statistics,Tanzania
Trade Facilitation Agreement database,"tfadatabase.org ",World Trade Organisation,
The Netherlands Environmental Assessment Agency,https://www.pbl.nl/en,The Netherlands Environmental Assessment Agency,Netherlands
CITES Trade Database,http://trade.cites.org,UNEP-WCMC; CITES Secretariat,
" country-profile ","trade4devnews.enhancedif.org ",Enhanced Integrated Framework,
International Trade Council,"tradecouncil.org ",,
United States Census,https://www.census.gov/foreign-trade/index.html,United States Census Bureau (US Department of Commerce),USA
UNCTAD e-Handbook of Statistics,https://stats.unctad.org/handbook/,UNCTAD,
UNCTAT STAT,https://unctadstat.unctad.org/wds/ReportFolders/reportFolders.aspx,UNCTAD,
UN statistics,unstats.un.orgÂ ,United Nations Statistics Division (UNSD),
"USDA Economics, Statistics and Market Information System (ESMIS)",usda.library.cornell.eduÂ ,,
Global Trade Tracker,https://www.globaltradetracker.com/start/,Zen Innovations AG,
Verigates,verigates.bureauveritas.comÂ ,,
Coalition to end wildlife trafficking online,wildlifetradetracker.org,WWF; TRAFFIC; IFAW,
World Trade Daily,worldtradedaily.wordpress.comÂ ,,
Australian Department of Agriculture,https://www.agriculture.gov.au/abares/research-topics/agricultural-outlook/data#agricultural-commodities,"Department of Agriculture, Water and the Environment Australian Government",Australia
International bamboo and Rattan Organisation,"www.airca.orgÂ â€ºÂ airca-resourcesÂ â€ºÂ other-articlesÂ â€ºÂ 24-
gGl..lobal.",,
USA Trade Online,https://usatrade.census.gov/,,
Beaureau of Economic analysis,www.bea.govÂ ,US Department of Commerce,
Export Genius,www.brazilexim.comÂ ,,
Cameroon Trade Hub,www.cameroontradehub.cmÂ ,,
CEIC,www.ceicdata.comÂ ,,Global;Brazil;China;India;Indonesia;Russia
Cepea,https://www.cepea.esalq.usp.br/en/search-in-the-website-database.aspx,,
Cepii,http://www.cepii.fr/CEPII/en/bdd_modele/bdd_modele.asp,CEPII,
CIS Countries Trade Data,www.cistradedata.comÂ ,,"Uzbekistan, Russia, Kazakhstan, Ukraine,"
CountryStat,www.countrystat.orgÂ ,,
Trade Statistics of Japan,https://www.customs.go.jp/toukei/info/tsdl_e.htm,,Japan
Vietnam Customs,https://www.customs.gov.vn/Lists/EnglishStatistics/Default.aspx?language=en-US,,
Descartes Datamyne,www.datamyne.comÂ ,,
Direct China Chamber of Commerce China Database,https://www.dccchina.org/services/china-data/,DCCChina,China
Statistisches Bundesamt (Destatis),www.destatis.deÂ ,Federal Statistical Office,Germany
Environmental Conservation Online Syatem (ECOS),https://ecos.fws.gov/ecp/,US Fish and Wildlife Service,
Export Genius,www.ethiopianimporter.comÂ ,Export Genius,Ethiopia
E to China,www.e-to-china.comÂ ,ETCN,China
FLEGT Independent Market Monitor,https://stats.flegtimm.eu/,,
Global Timber,www.globaltimber.org.ukÂ ,,
Global Trade Online Limited,www.gtodata.comÂ ,,
"Happily Trade EXIM ",https://www.happilytrade.com/global-trade-data/,Happily Trade Exim,
"India Ministry of Commerce and Industry ",http://dashboard-commerce.gov.in/,Ministry of Commerce and Industry Government of India,
International Cocoa Organization,www.icco.org,International Cocoa Organization,
"International Council of Hides, Skins and Leather Traders Association",www.ichslta.comÂ ,International Coffee Organization,
International Coffee Organization,www.ico.org,International Coffee Organization,
India Agristat,www.indiaagristat.comÂ ,Datanet India,India
International Trade Centre (ITC),www.intracen.orgÂ ,UNCTAD; WTO,"Global (mostly LDCs, LLDCs, SIDS, Sub-Saharan Africa, SVEs, post conflict and fragile states)"
International Sugar Oirganization Sugar Bulletin,http://www.isosugar.org/publications/5/statistical-bulletin,International Sugar Organisation,
International Tropical Timber Organization,"www.itto.intÂ â€ºÂ news_releases
Tropical timber, bamboo and rattan could help b",,
"Republic of Kenya Ministry of Agriculture, Livestock and Fisheries",http://www.kilimo.go.ke/dataset/,"Republic of Kenya Ministry of Agriculture, Livestock and Fisheries",Kenya
The United Republic of Tanzania Ministry of Agriculture,www.kilimo.go.tzÂ ,United Republic of Tanzania Ministry of Agriculture,Tanzania
Lloyds Bank International Trade Portal,www.lloydsbanktrade.comÂ ,Lloyds Bank,
LMC,www.lmc.co.ukÂ ,LMC International Ltd,
Export Genius Mexico Importer,www.mexicoimporter.comÂ ,Export Genius,Mexico
New Zealand Foreign Affairs and Trade Trade Statistics and Economic Research Division,https://www.mfat.govt.nz/en/trade/trade-statistics-and-economic-research/,New Zealand Foreign Affairs and Trade,New Zealand
Meat and Livestock Australia,www.mla.com.auÂ ,,
Tanzania CountrySTAT,http://tanzania.countrystat.org/home/en/,,
National Coffee Association USA,www.ncausa.orgÂ ,National Coffee Association,
NCB Data,www.ncbdata.comÂ ,Shanghai NCB Consultation Co,
UK Regions Imports and Exports of Goods by Country and World Region,https://uktradeingoodsmap.nisra.gov.uk/?reporter=NI&partner&commodity&year=2019,UK Govt,
Oil World,https://www.oilworld.biz/t/statistics/commodities,Oil World (ISTA Mielke GmbH),
Office of National Statistics,www.ons.gov.ukÂ ,Office for National Statistics,
Palm Oil Analytics,www.palmoilanalytics.comÂ ,Palm Oil Analytics,
Philippines Trade Data,www.philippinestradedata.comÂ ,,Philippines
Refinitiv,www.refinitiv.comÂ ,Refinitiv,
Russia Exim,www.russiaexim.comÂ ,Export Genius,Russia
China Africa Research Initiative,www.sais-cari.orgÂ ,Johns Hopkins School of Advanced International Studies,China; Africa
Seair Exim Solutions,www.seair.co.inÂ ,,India and USA
Foreign Trade Information Service,www.sice.oas.orgÂ ,,
Statista,www.statista.comÂ ,Statista,
National Bureau of Statistics China,www.stats.gov.cnÂ ,National Bureau of Statistics China,
New Zealand Trade Dashboard,https://statisticsnz.shinyapps.io/trade_dashboard/,Stats NZ,New Zealand
Sucden,www.sucden.comÂ ,Sucden,
The Coffee Guide,www.thecoffeeguide.orgÂ ,International Trade Centre,
"Â Cameroon ",www.theglobaleconomy.comÂ ,,
The Government of Hong Kong Special Adminitrative Region Trade and Industry Department,https://www.tid.gov.hk/english/aboutus/publications/tradestat/tradestat_maincontent.html,The Government of Hong Kong Special Adminitrative Region Trade and Industry Department,Hong Kong
Timber trade portal,www.timbertradeportal.comÂ ,Association Technique Internationale des Bois Tropicaux (ATIBT); European Timber Trade Federation (ETTF); Form International,
International Trade Administration,www.trade.gov,International Trade Administration US Department of Commerce,USA
GlobalTrade Data Pty. Ltd. (GTD),www.tradedata.hkÂ ,,Asia
TradeData International,www.tradedata.netÂ ,,
Trade Map,www.trademap.orgÂ ,,
Trade Law Centre (TRALAC),www.tralac.orgÂ ,Tralac,
HM Revenue and Customs,www.uktradeinfo.comÂ ,UK Govt,
Urner Barry,www.urnerbarry.com,,Red meat
US Trade Numbers WorldCity,www.ustradenumbers.comÂ ,,
Vietnam Trades,www.vietnamtrades.comÂ ,,
Volza,www.volza.comÂ ,Volza,
World Coffee Portal,www.worldcoffeeportal.comÂ ,,
Worlds Top Exports,www.worldstopexports.comÂ ,,
Â global-trade-dataÂ ,www.xportmine.comÂ ,,
"Law Enforcement Management Information System (LEMIS) ",https://zenodo.org/record/3565869#.XzZ5cNOWxPZ,Ecohealth Alliance; United States Fish and Wildlife Service,UK
"Global Federation of Competitiveness Council (GFCC) competitiveness decoder ",http://decoder.thegfcc.org,Global Federation of Competitiveness Councils (GFCC),
"Global Economic Dynamics ",http://viz.ged-project.de,,
Global Forest Watch,https://www.globalforestwatch.org/,World Resources Institute,
"Hanse ",http://hanse.biz,,
"NAFTA trade flows ",https://blogs.thomsonr,,USA; Mexico; Canada
"NAICS (North  American Industry Classification System) related party database ",http://relatedparty.ftd.census.gov,,
"OECD.Stat ",http://stats.oecd.org/,OECD,
"Resource Trade ",http://resourcetrade.earth,Chatham House,
"Species+ ",https://www.speciesplus.net/,UNEP-WCMC; CITES Secretariat,
"Atlas of Economic Complexity ",http://atlas.cid.harvard.edu,"Center for International Development (CID), Harvard University",
"Globe of Economic Complexity ",http://globe.cid.harvard.edu,"Center for International Development (CID), Harvard University",
"Observatory of Economic Complexity ",http://oec.world,,
Trade Map Explorer,http://trademap.org,,
"TrendEconomy ",https://trendeconomy.com,Trend Economy,
UN Comtrade (database and Labs),http://comtrade.un.org,UN Statistics Division,
"UN data ",http://data.un.org,UN Statistics Division,
"World Integrated Trade Solution (WITS) ",https://wits.worldbank.org,World Bank; UNCTAD; UNSD; WTO,Global
Agroideal,https://agroideal.org/en/,"The Nature Conservancy, agrosatelite, supernova design, Fundacion ProYungas","Brazil, Argentina"
Bonsucro,https://www.bonsucro.com/what-is-bonsucro/,,
Earth Time,https://earthtime.org/,"The Community Robotics, Education and Technology Empowerment Lab (CREATE Lab)Â ",Global
Global Forest Watch Pro,https://pro.globalforestwatch.org/about,Global Forest Watch and World Resources Institutes's,Global
IDH the Sustainable Trade Initiative,https://www.idhsustainabletrade.com/impact/mitigation-of-deforestation/,IDH,Indonesia; Brazil
IKnowFood,https://iknowfood.org/about-us/,"University of York, the Universities of Liverpool, Manchester",United Kingdom
INBAR International Network for Bamboo and Rattan,https://www.inbar.int/about-inbar/#1,,
Innovative Farmers,https://www.innovativefarmers.org/about/,"Waitrose DUCHY Organic, Soil Association, The prince of Wales Charitable Fund, Organic Research Centre ELM Farm, Innovation for Agriculture, LEAF",United Kingdom
IOTA Ecosystem,https://ecosystem.iota.org/,IOTA Foundation,
Life Cycle Initiative,https://www.lifecycleinitiative.org/about/about-lci/,UN Environment,
Linking Environment and Farming (LEAF),https://leafuk.org/about-leaf/what-we-do,,United Kingdom
N8AgriFood,https://www.n8agrifood.ac.uk/,"University of Durham, Lancaster, Leeds, Liverpool, Manchester, Newcastle, Sheffield and York.",
Safe trace,https://www.agrotransparencia.com.br/homeenglish,"PWC, The nature Conservancy, CPQD, Sebrae, ApexBRasil",
Solidaridad Network,https://www.solidaridadnetwork.org/,,
Supply Chain Transparency Network,https://www.gc-dz.com/exec?m=sctndd&u=auto_login__sctn,Global Canopy Programme; SEI,
"Sustainable and Healthy Food Systems (SHEFS) ",https://shefsglobal.lshtm.ac.uk/,"The Food Foundation, London School of Hygiene $ Tropical Medicine, City University of London, RVC, SOAS, Centre for Chronic Disease Control, UCL, University of Aberdeen, University of Kwazulu-Natal, ATREE","United Kingdom, South Africa, India"
Switch Med,https://www.switchmed.eu/en,"UNIDO, UNEP, UNEP/MAP, Regional Activity Centre for Sustainable Consumption and Production, ",Mediterranean
The International Panel of Experts on Sustainable Food Systems (IPES-Food),http://www.ipes-food.org/about/,,Europe; West Africa
The Socially and Environmentally Sustainable Oil Palm Reserarch Sensor Project (SENSOR),http://www.sensorproject.net/,"South East Asia Rainforest Research Partnership (SEARRP) ",
Sedex,https://www.sedexglobal.com/about-us/,,
World Benchmarking Alliance,https://www.worldbenchmarkingalliance.org/about-us/,,
The Organisation for Economic Co-operation and Development (OECD,https://www.oecd.org/about/,,
Sustainable Natural Rubber Initiative (SNR-i),http://snr-i.org/,,
"Forest, Trees and Agroforestry (FTA)",http://www.foreststreesagroforestry.org/what-is-fta/,Center for International Forestry Research (CGIAR),
Saving Tomorrowâ€™s Agriculture Resources (STAR) program,https://starfreetool.com/about,Champaign County Soil and Water Conservation District,USA
AGWater Challenge,https://www.ceres.org/sites/default/files/files/AWC%20Criteria%20-%202018.pdf,"Ceres, WWF",
Global Landscapes forum (GLF),https://www.globallandscapesforum.org/,"Center for International Forestry Research (CIFOR), in collaboration with its co-founders UN Environment and the World Bank and Charter Members",
Sustainable Rice Platform (SRP),http://www.sustainablerice.org/,UN Environment and International Rice Research Institute (IRRI),
High Conservation Values Resource Network (HCV),https://hcvnetwork.org/,"World Resources Institute, Forest People Programme, WWF, mondi, Olam, gar, FSC, Proforest, RSPO,",
Ceres,https://www.ceres.org/index.php/about-us,,
Business for Water Stewardship network,https://businessforwater.org/about,Bonneville Environmental Foundation,USA
IRIS+,https://iris.thegiin.org/standards/,Global Impact Investing Network,
LBG Framework,http://www.lbg-online.net/about/,Corporate Citizenship,
Association for Supply Chain Management,http://www.apics.org/about/overview,Association for Supply Chain Management,
B Impact Assessment,https://bimpactassessment.net/node/464,B Lab,
Access to Nutrition Foundation (ATNF),https://accesstonutrition.org/about-us/,,
Sustainability Accounting Standards Board (SASB),https://www.sasb.org/standards-overview/materiality-map/,Sustainability Accounting Standards Board,
Sopact,https://www.sopact.com/,"Social Value International, Impact Management PRoject, UN Sustainable Development Goals, GIIN, Feedback Labs",
Global Innovation Exchange (GIE),https://www.globalinnovationexchange.org/about,,
Sustainable Coffee Challenge,https://www.sustaincoffee.org/about/,,
World Cocoa Foundation,https://www.worldcocoafoundation.org/,,
Alliance for Zero Extinction (AZE),https://zeroextinction.org/the-alliance/partner-list/,"GEF, UNEP, American Bird Conservancy, Birdlife Internation, IUCN",
THESIS,https://www.sustainabilityconsortium.org/what-we-offer/thesis/,The Sustainability Consortium (TSC),
Evidensia,https://www.evidensia.eco/how-to-use-evidensia/why-evidensia/,"ISEAL Alliance, Rainforest Alliance, WWF",
The Global Value Toolkit,https://www.global-value.eu/toolkit/,"Institute for Managing Sustainability,Â Vienna University of Economics & Business",
True Impact,http://www.trueimpact.com/about-corporate-social-responsibility-company,,
Carbon Trust,https://www.carbontrust.com/about-us/,Carbon Trust,
Global Impact Investing Network (GIIN),https://thegiin.org/about/,,
Cool Farm Alliance (CFA),https://coolfarmtool.org/coolfarmtool/,,
Sustainable Food Lab,https://sustainablefoodlab.org/initiatives/#!/measurement-tools-and-frameworks,,
Global Coffee Platform,https://www.globalcoffeeplatform.org/tools/gcp-progress#about,,"Brazil, Indonesia, Tanzania"
The National Biodiversity Network (NBN),https://nbn.org.uk/about-us/who-we-are/,,
Global Biodiversity Model (GLOBIO model),https://www.globio.info/,"PBL, UNEP GRID-Arendal and UNEP-WCMC.",
ReCiPe,https://www.rivm.nl/en/life-cycle-assessment-lca/recipe,"Radboud University in Nijmegen, RIVM, NTNU Trondheim and PRÃ©",
Co$ting Nature,http://www.policysupport.org/costingnature,"King's College London, AmbioTEK, UNEP-WCMC",
Ecopath with EcosimÂ (EwE),https://ecopath.org/,Ecopath International Initiative,
Projecting Responses of Ecological Diversity In Changing Terrestrial Systems (PREDICTS),https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.2579,"Natural History Museum, UNEP-WCMC.",
Spatially Explicit Information on Production to Consumption Systems (SEI-PCS),https://www.sei.org/wp-content/uploads/2019/03/sei-2019-p2cs-summary-sei-pcs.pdf,Stockholm Environment Institute,
The Madingley Model. General Ecosystem Model (GEM),https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001841,"UNEP-WCMC, UCLK, Imperial College, University of Copenhagen, Cambridge University, Stockholm Resilence Centre, Radbound University, ZSL, Nereus Program, Northern Arizona University. ",
PRINCE,http://www.prince-project.se/,"KTH, Universiteit Leiden, TNO, SEI, NTNU, Statistiska centralbyran, Chalmers",Sweden
IOTA - SEI,https://www.sei.org/projects-and-tools/tools/iota/,Stockholm Environment Institute,
Supply Chain Operations Reference model (SCOR),https://www.apics.org/apics-for-business/frameworks/scor,Association for Supply Chain Management,
AI for Earth,https://www.microsoft.com/en-us/ai/ai-for-earth,Microsoft,
ArcGIS Living Atlas of the World,"https://livingatlas.arcgis.com/en/ ",ESRI;ZSL;TNC;Conservation International;WWF;UK Natural History Museum;GBIF;Yale Map of Life;CSC Biodiversity;IIASA;NatureServe;GEO BON;University of Porto;Sustainable Development Solutions Network,Global
Benefit Transfer Toolkit,https://my.usgs.gov/benefit-transfer/,USGS,USA
Biodiversity Indicator Partnership Dashboard,https://www.bipindicators.net/,NatureServe,
Climate Engine,https://app.climateengine.org/climateEngine,University of Idaho; Desert Research Institute; Google Earth Engine,
Coastal Resilience Decision Support Tools,https://coastalresilience.org,The Nature Conservancy,
Collect Earth,http://www.openforis.org/tools/collect-earth.html,SERVIR (a joint NASA and USAID program) and FAO,
Commodity Mapping Tool,https://www.sustainabilityconsortium.org/projects/commodity-mapping/,The Sustainability Consortium,
Global Footprint Network - Finance for Change Initiative,https://www.footprintfinance.org/,Global Footprint Network,Global
UNdata,https://data.un.org/,United Nations Statistics Division (UNSD),Global
Ecosystem Valuation Toolkit (EVT),https://www.eartheconomics.org/ecosystem-valuation-toolkit,Earth Economics,
Global Forest Resources Assessment,http://www.fao.org/forestry/en/,FAO,
ENCORE,https://encore.naturalcapital.finance/en,UNEP-WCMC; Natural Capital Finance Alliance,Global
Icebreaker One,https://icebreakerone.org/,Icebreaker One,
Resource Watch,https://resourcewatch.org/,World Resources Institute,Global
Soft Commodity Risk Platform (SCRIPT),https://www.script.finance/en/,"Global Canopy Programme ",
Contour / InsideBusiness Trade,https://new.ingwb.com/en/trade-solutions/trade-finance-services,Ing,
Proagrica,https://img04.en25.com/Web/Proagrica/%7B74568ca7-f8e1-406e-998e-4508a53d014f%7D_4547_100percent_Whitepaper_2.pdf?elqTrackId=23c48fdc50e24c9c967d19fd43f68451&elqaid=457&elqat=2,Proagrica,
Land Portal,https://landportal.org/,The Land Portal Foundation,Global
Biodiversity Footprint Project,https://sayari.co/product-biodiversity-footprint,Sayari,
Earth Map,https://earthmap.org/login,FAO,
Circular Economy.earth,https://circulareconomy.earth/,Chatham House,